Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
2 = Part B
3 = Part C
5 = Part D"
00931,CHINA LNG,Equity,Equity Securities (Main Board),"2,000",HKD 0.0200,KYG2117J1316,,Y,,Y,,,,Y,,,,Y,1
00932,SHUNTEN INTL,Equity,Equity Securities (Main Board),"4,000",HKD 0.0025,KYG811881070,,Y,,Y,,,,Y,,,,Y,1
00934,SINOPEC KANTONS,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG8165U1009,,Y,Y,Y,Y,,,Y,,,,Y,1
00935,DRAGON CROWN,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG290281008,,Y,,Y,,,,Y,,,,Y,1
00936,EAGLE LEGEND,Equity,Equity Securities (Main Board),"10,000",HKD 0.0100,KYG2953A1031,,Y,,Y,,,,Y,,,,Y,1
00938,MAN SANG INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,BMG579461168,,Y,,Y,,,,Y,,,,Y,1
00939,CCB,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE1000002H1,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00941,CHINA MOBILE,Equity,Equity Securities (Main Board),500,,HK0941009539,,Y,Y,Y,Y,Y,Y,Y,,,,Y,1
00943,ZHONGZHENG INTL,Equity,Equity Securities (Main Board),"8,000",HKD 0.00004,,,Y,,Y,,,,Y,,,,Y,1
00945,MANULIFE-S,Equity,Equity Securities (Main Board),100,,CA56501R1064,,Y,,Y,,,,Y,,,,Y,1
00947,MOBI DEV,Equity,Equity Securities (Main Board),"1,000",USD 0.0000,KYG618391091,,Y,,Y,,,,Y,,,,Y,1
00948,ALPHA PRO HLDGS,Equity,Equity Securities (Main Board),"2,000",USD 0.1600,,,Y,,Y,,,,Y,,,,Y,1
00950,LEE'S PHARM,Equity,Equity Securities (Main Board),500,HKD 0.0500,KYG5438W1116,,Y,Y,Y,,,,Y,,,,Y,1
